=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     ADDER    Jul 29 08:53:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     182 (182) (0 property flop bits)   4 (4)     3394 (3394)   6920   13      1648        950             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[433]   U1080.ZN                                        Dangerous
[434]   U1080.i_24                                      Dangerous
[435]   U1081.A1                                        Dangerous
[436]   U1081.A2                                        Dangerous
[437]   U1081.B                                         Dangerous
[438]   U1081.ZN                                        Dangerous
[439]   U1081.i_0                                       Dangerous
[440]   U1081.i_1                                       Dangerous
[441]   U1082.A1                                        Dangerous
[442]   U1082.A2                                        Dangerous
[443]   U1082.Z                                         Dangerous
[444]   U1082.i_18                                      Dangerous
[445]   U1082.i_19                                      Dangerous
[446]   U1082.i_20                                      Dangerous
[447]   U1082.i_21                                      Dangerous
[448]   U1083.I                                         Dangerous
[449]   U1083.ZN                                        Dangerous
[450]   U1084.A1                                        Dangerous
[451]   U1084.A2                                        Dangerous
[452]   U1084.B1                                        Dangerous
[453]   U1084.B2                                        Dangerous
[454]   U1084.ZN                                        Dangerous
[455]   U1084.i_0                                       Dangerous
[456]   U1084.i_1                                       Dangerous
[457]   U1084.i_2                                       Dangerous
[458]   U1085.I                                         Dangerous
[459]   U1085.ZN                                        Dangerous
[460]   U1086.A1                                        Dangerous
[461]   U1086.A2                                        Dangerous
[462]   U1086.ZN                                        Dangerous
[463]   U1086.i_24                                      Dangerous
[464]   U1087.I                                         Dangerous
[465]   U1087.ZN                                        Dangerous
[466]   U1088.A1                                        Dangerous
[467]   U1088.A2                                        Dangerous
[468]   U1088.B                                         Dangerous
[469]   U1088.ZN                                        Dangerous
[470]   U1088.i_0                                       Dangerous
[471]   U1088.i_1                                       Dangerous
[472]   U1089.A1                                        Dangerous
[473]   U1089.A2                                        Dangerous
[474]   U1089.ZN                                        Dangerous
[475]   U1089.i_12                                      Dangerous
[476]   U1090.A1                                        Dangerous
[477]   U1090.A2                                        Dangerous
[478]   U1090.ZN                                        Dangerous
[479]   U1090.i_12                                      Dangerous
[480]   U1091.A1                                        Dangerous
[481]   U1091.A2                                        Dangerous
[482]   U1091.ZN                                        Dangerous
[483]   U1091.i_24                                      Dangerous
[484]   U1092.A1                                        Dangerous
[485]   U1092.A2                                        Dangerous
[486]   U1092.B                                         Dangerous
[487]   U1092.ZN                                        Dangerous
[488]   U1092.i_0                                       Dangerous
[489]   U1092.i_1                                       Dangerous
[490]   U1093.A1                                        Dangerous
[491]   U1093.A2                                        Dangerous
[492]   U1093.Z                                         Dangerous
[493]   U1093.i_18                                      Dangerous
[494]   U1093.i_19                                      Dangerous
[495]   U1093.i_20                                      Dangerous
[496]   U1093.i_21                                      Dangerous
[497]   U1094.I                                         Dangerous
[498]   U1094.ZN                                        Dangerous
[499]   U1095.A1                                        Dangerous
[500]   U1095.A2                                        Dangerous
[501]   U1095.B1                                        Dangerous
[502]   U1095.B2                                        Dangerous
[503]   U1095.ZN                                        Dangerous
[504]   U1095.i_0                                       Dangerous
[505]   U1095.i_1                                       Dangerous
[506]   U1095.i_2                                       Dangerous
[507]   U1096.I                                         Dangerous
