=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Oct 23 10:20:53 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]--------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates           | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     3237 (3237) (0 property flop bits)   0 (0)     144107 (144107)   272240   35      54096       34030           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[318]   MULT_STG.U9301.Z                                       Unknown
[319]   MULT_STG.U9472.A1                                      Unknown
[320]   MULT_STG.U9472.A2                                      Unknown
[321]   MULT_STG.U9472.Z                                       Unknown
[322]   MULT_STG.U9485.A1                                      Unknown
[323]   MULT_STG.U9485.A2                                      Unknown
[324]   MULT_STG.U9485.Z                                       Unknown
[325]   MULT_STG.U9522.A1                                      Unknown
[326]   MULT_STG.U9522.A2                                      Unknown
[327]   MULT_STG.U9522.Z                                       Unknown
[328]   MULT_STG.U9526.A1                                      Unknown
[329]   MULT_STG.U9526.A2                                      Unknown
[330]   MULT_STG.U9526.Z                                       Unknown
[331]   MULT_STG.U9542.A1                                      Unknown
[332]   MULT_STG.U9542.A2                                      Unknown
[333]   MULT_STG.U9542.Z                                       Unknown
[334]   MULT_STG.U9546.A1                                      Unknown
[335]   MULT_STG.U9546.A2                                      Unknown
[336]   MULT_STG.U9546.Z                                       Unknown
[337]   MULT_STG.U9552.A1                                      Unknown
[338]   MULT_STG.U9552.A2                                      Unknown
[339]   MULT_STG.U9552.Z                                       Unknown
[340]   MULT_STG.U9740.A1                                      Unknown
[341]   MULT_STG.U9740.A2                                      Unknown
[342]   MULT_STG.U9740.Z                                       Unknown
[343]   MULT_STG.U9751.A1                                      Unknown
[344]   MULT_STG.U9751.A2                                      Unknown
[345]   MULT_STG.U9751.Z                                       Unknown
[346]   MULT_STG.U9809.A1                                      Unknown
[347]   MULT_STG.U9809.A2                                      Unknown
[348]   MULT_STG.U9809.Z                                       Unknown
[349]   MULT_STG.U9813.A1                                      Unknown
[350]   MULT_STG.U9813.A2                                      Unknown
[351]   MULT_STG.U9813.Z                                       Unknown
[352]   MULT_STG.U9884.A1                                      Unknown
[353]   MULT_STG.U9884.A2                                      Unknown
[354]   MULT_STG.U9884.Z                                       Unknown
[355]   MULT_STG.U9888.A1                                      Unknown
[356]   MULT_STG.U9888.A2                                      Unknown
[357]   MULT_STG.U9888.Z                                       Unknown
[358]   MULT_STG.U9915.A1                                      Unknown
[359]   MULT_STG.U9915.A2                                      Unknown
[360]   MULT_STG.U9915.Z                                       Unknown
[361]   MULT_STG.U10127.A1                                     Unknown
[362]   MULT_STG.U10127.A2                                     Unknown
[363]   MULT_STG.U10127.Z                                      Unknown
[364]   MULT_STG.U10138.A1                                     Unknown
[365]   MULT_STG.U10138.A2                                     Unknown
[366]   MULT_STG.U10138.Z                                      Unknown
[367]   MULT_STG.U10196.A1                                     Unknown
[368]   MULT_STG.U10196.A2                                     Unknown
[369]   MULT_STG.U10196.Z                                      Unknown
[370]   MULT_STG.U10200.A1                                     Unknown
[371]   MULT_STG.U10200.A2                                     Unknown
[372]   MULT_STG.U10200.Z                                      Unknown
[373]   MULT_STG.U10673.A1                                     Unknown
[374]   MULT_STG.U10673.A2                                     Unknown
[375]   MULT_STG.U10673.Z                                      Unknown
[376]   MULT_STG.U10700.A1                                     Unknown
[377]   MULT_STG.U10700.A2                                     Unknown
[378]   MULT_STG.U10700.Z                                      Unknown
[379]   MULT_STG.U10727.A1                                     Unknown
[380]   MULT_STG.U10727.A2                                     Unknown
[381]   MULT_STG.U10727.Z                                      Unknown
[382]   MULT_STG.U10789.A1                                     Unknown
[383]   MULT_STG.U10789.A2                                     Unknown
[384]   MULT_STG.U10789.Z                                      Unknown
[385]   MULT_STG.U10888.A1                                     Unknown
[386]   MULT_STG.U10888.A2                                     Unknown
[387]   MULT_STG.U10888.Z                                      Unknown
[388]   MULT_STG.U11377.A1                                     Unknown
[389]   MULT_STG.U11377.A2                                     Unknown
[390]   MULT_STG.U11377.Z                                      Unknown
[391]   MULT_STG.U11404.A1                                     Unknown
[392]   MULT_STG.U11404.A2                                     Unknown
[393]   MULT_STG.U11404.Z                                      Unknown
[394]   MULT_STG.U11431.A1                                     Unknown
[395]   MULT_STG.U11431.A2                                     Unknown
[396]   MULT_STG.U11431.Z                                      Unknown
[397]   MULT_STG.U11493.A1                                     Unknown
[398]   MULT_STG.U11493.A2                                     Unknown
[399]   MULT_STG.U11493.Z                                      Unknown
[400]   MULT_STG.U11592.A1                                     Unknown
[401]   MULT_STG.U11592.A2                                     Unknown
[402]   MULT_STG.U11592.Z                                      Unknown
[403]   MULT_STG.U11772.A1                                     Unknown
[404]   MULT_STG.U11772.A2                                     Unknown
[405]   MULT_STG.U11772.Z                                      Unknown
[406]   MULT_STG.U11783.A1                                     Unknown
[407]   MULT_STG.U11783.A2                                     Unknown
[408]   MULT_STG.U11783.Z                                      Unknown
[409]   MULT_STG.U11812.A1                                     Unknown
[410]   MULT_STG.U11812.A2                                     Unknown
[411]   MULT_STG.U11812.Z                                      Unknown
[412]   MULT_STG.U11817.A1                                     Unknown
[413]   MULT_STG.U11817.A2                                     Unknown
[414]   MULT_STG.U11817.Z                                      Unknown
[415]   MULT_STG.U11822.A1                                     Unknown
[416]   MULT_STG.U11822.A2                                     Unknown
[417]   MULT_STG.U11822.Z                                      Unknown
[418]   MULT_STG.U11839.A1                                     Unknown
[419]   MULT_STG.U11839.A2                                     Unknown
[420]   MULT_STG.U11839.Z                                      Unknown
[421]   MULT_STG.U11860.A1                                     Unknown
[422]   MULT_STG.U11860.A2                                     Unknown
[423]   MULT_STG.U11860.Z                                      Unknown
[424]   MULT_STG.U12036.A1                                     Unknown
[425]   MULT_STG.U12036.A2                                     Unknown
[426]   MULT_STG.U12036.Z                                      Unknown
[427]   MULT_STG.U12047.A1                                     Unknown
[428]   MULT_STG.U12047.A2                                     Unknown
[429]   MULT_STG.U12047.Z                                      Unknown
[430]   MULT_STG.U12076.A1                                     Unknown
[431]   MULT_STG.U12076.A2                                     Unknown
[432]   MULT_STG.U12076.Z                                      Unknown
[433]   MULT_STG.U12081.A1                                     Unknown
[434]   MULT_STG.U12081.A2                                     Unknown
[435]   MULT_STG.U12081.Z                                      Unknown
[436]   MULT_STG.U12085.A1                                     Unknown
[437]   MULT_STG.U12085.A2                                     Unknown
[438]   MULT_STG.U12085.Z                                      Unknown
[439]   MULT_STG.U12101.A1                                     Unknown
[440]   MULT_STG.U12101.A2                                     Unknown
[441]   MULT_STG.U12101.Z                                      Unknown
[442]   MULT_STG.U12121.A1                                     Unknown
[443]   MULT_STG.U12121.A2                                     Unknown
[444]   MULT_STG.U12121.Z                                      Unknown
[445]   MULT_STG.U12680.A1                                     Unknown
[446]   MULT_STG.U12680.A2                                     Unknown
[447]   MULT_STG.U12680.Z                                      Unknown
[448]   MULT_STG.U12707.A1                                     Unknown
[449]   MULT_STG.U12707.A2                                     Unknown
[450]   MULT_STG.U12707.Z                                      Unknown
[451]   MULT_STG.U12734.A1                                     Unknown
[452]   MULT_STG.U12734.A2                                     Unknown
[453]   MULT_STG.U12734.Z                                      Unknown
[454]   MULT_STG.U12796.A1                                     Unknown
[455]   MULT_STG.U12796.A2                                     Unknown
[456]   MULT_STG.U12796.Z                                      Unknown
[457]   MULT_STG.U12895.A1                                     Unknown
[458]   MULT_STG.U12895.A2                                     Unknown
[459]   MULT_STG.U12895.Z                                      Unknown
[460]   MULT_STG.U13058.A1                                     Unknown
[461]   MULT_STG.U13058.A2                                     Unknown
[462]   MULT_STG.U13058.Z                                      Unknown
[463]   MULT_STG.U13068.A1                                     Unknown
[464]   MULT_STG.U13068.A2                                     Unknown
[465]   MULT_STG.U13068.Z                                      Unknown
[466]   MULT_STG.U13094.A1                                     Unknown
[467]   MULT_STG.U13094.A2                                     Unknown
[468]   MULT_STG.U13094.Z                                      Unknown
[469]   MULT_STG.U13099.A1                                     Unknown
[470]   MULT_STG.U13099.A2                                     Unknown
[471]   MULT_STG.U13099.Z                                      Unknown
[472]   MULT_STG.U13103.A1                                     Unknown
[473]   MULT_STG.U13103.A2                                     Unknown
[474]   MULT_STG.U13103.Z                                      Unknown
[475]   MULT_STG.U13119.A1                                     Unknown
[476]   MULT_STG.U13119.A2                                     Unknown
[477]   MULT_STG.U13119.Z                                      Unknown
[478]   MULT_STG.U13138.A1                                     Unknown
