Version("1.1")
Date("10/30/25 23:25:57")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:256933}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[95:0]";
            2 "DSP.dsp_taken_branch[2:0]";
            3 "DSP.dsp_except_condition[2:0]";
            4 "DSP.busy_dsp[2:0]";
            5 "DSP.dsp_we_word[11:0]";
            6 "DSP.dsp_sc_read_addr[83:0]";
            7 "DSP.dsp_to_sc[23:0]";
            8 "DSP.dsp_sc_data_write_wire[383:0]";
            9 "DSP.dsp_sc_write_addr[41:0]";
            10 "DSP.dsp_sci_we[11:0]";
            11 "DSP.dsp_sci_req[11:0]";
            12 "DSP.state_DSP[5:0]";
        }
    }
}

FaultList{

 Total              ND               DD            PD             NC             NO Scope
------ --------------- ---------------- ------------- -------------- -------------- -----
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27982
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27980
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27538
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27021
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26930
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26753
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U25450
     6     6 (100.00%)      0   (0.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U25414
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U32088
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U31180
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U31112
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30963
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30724
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30696
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30651
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30631
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30497
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U29789
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U29692
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U29426
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U29092
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28981
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U28156
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U27234
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26249
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U26216
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U22775
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U21038
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U20967
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U20953
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U20626
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U20594
    10     5  (50.00%)      5  (50.00%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U20540
    10     5  (50.00%)      3  (30.00%)   0   (0.00%)    1  (10.00%)    1  (10.00%) -U20466
     8     5  (62.50%)      3  (37.50%)   0   (0.00%)    0   (0.00%)    0   (0.00%) -U30178
