=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      May 26 09:58:51 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1081 (1081) (0 property flop bits)   0 (0)     43353 (44457)   100500   35      24390       15667           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             1418   0           52053
[2]     SA1          0             2466   0           51005
[3]     Total        0             3884   0           103058


********************************************************************************************

---[ <SA0> ]---------------------------------------------------------------------
[264]   U5628.X                                                   Unknown
[265]   U5635.A1                                                  Unknown
[266]   U5635.A2                                                  Unknown
[267]   U5635.B1                                                  Unknown
[268]   U5635.X                                                   Unknown
[269]   U5642.A1                                                  Unknown
[270]   U5642.A2                                                  Unknown
[271]   U5642.B1                                                  Unknown
[272]   U5642.X                                                   Unknown
[273]   U5649.A1                                                  Unknown
[274]   U5649.A2                                                  Unknown
[275]   U5649.B1                                                  Unknown
[276]   U5649.X                                                   Unknown
[277]   U5656.A1                                                  Unknown
[278]   U5656.A2                                                  Unknown
[279]   U5656.B1                                                  Unknown
[280]   U5656.X                                                   Unknown
[281]   U5663.A1                                                  Unknown
[282]   U5663.A2                                                  Unknown
[283]   U5663.B1                                                  Unknown
[284]   U5663.X                                                   Unknown
[285]   U6792.A1                                                  Unknown
[286]   U6792.A2                                                  Unknown
[287]   U6792.B1                                                  Unknown
[288]   U6792.X                                                   Unknown
[289]   U7168.A1                                                  Unknown
[290]   U7168.A2                                                  Unknown
[291]   U7168.B1                                                  Unknown
[292]   U7168.X                                                   Unknown
[293]   U7169.A1                                                  Unknown
[294]   U7169.A2                                                  Unknown
[295]   U7169.B1                                                  Unknown
[296]   U7169.X                                                   Unknown
[297]   U7170.A1                                                  Unknown
[298]   U7170.A2                                                  Unknown
[299]   U7170.B1                                                  Unknown
[300]   U7170.X                                                   Unknown
[301]   U7171.A1                                                  Unknown
[302]   U7171.A2                                                  Unknown
[303]   U7171.B1                                                  Unknown
[304]   U7171.X                                                   Unknown
[305]   U7172.A1                                                  Unknown
[306]   U7172.A2                                                  Unknown
[307]   U7172.B1                                                  Unknown
[308]   U7172.X                                                   Unknown
[309]   U7173.A1                                                  Unknown
[310]   U7173.A2                                                  Unknown
[311]   U7173.B1                                                  Unknown
[312]   U7173.X                                                   Unknown
[313]   U7174.A1                                                  Unknown
[314]   U7174.A2                                                  Unknown
[315]   U7174.B1                                                  Unknown
[316]   U7174.X                                                   Unknown
[317]   U7175.A1                                                  Unknown
[318]   U7175.A2                                                  Unknown
[319]   U7175.B1                                                  Unknown
[320]   U7175.X                                                   Unknown
[321]   SHIF_STG.U887.A1                                          Unknown
[322]   SHIF_STG.U887.A2                                          Unknown
[323]   SHIF_STG.U887.B1                                          Unknown
[324]   SHIF_STG.U887.Y                                           Unknown
[325]   SHIF_STG.U899.A1                                          Unknown
[326]   SHIF_STG.U899.A2                                          Unknown
[327]   SHIF_STG.U899.B1                                          Unknown
[328]   SHIF_STG.U899.Y                                           Unknown
[329]   SHIF_STG.U902.A1                                          Unknown
[330]   SHIF_STG.U902.A2                                          Unknown
[331]   SHIF_STG.U902.B1                                          Unknown
[332]   SHIF_STG.U902.Y                                           Unknown
[333]   SHIF_STG.U910.A1                                          Unknown
[334]   SHIF_STG.U910.A2                                          Unknown
[335]   SHIF_STG.U910.B1                                          Unknown
[336]   SHIF_STG.U910.Y                                           Unknown
[337]   SHIF_STG.U913.A1                                          Unknown
[338]   SHIF_STG.U913.A2                                          Unknown
[339]   SHIF_STG.U913.B1                                          Unknown
[340]   SHIF_STG.U913.Y                                           Unknown
[341]   SHIF_STG.U1012.A1                                         Unknown
[342]   SHIF_STG.U1012.A2                                         Unknown
[343]   SHIF_STG.U1012.B1                                         Unknown
[344]   SHIF_STG.U1012.Y                                          Unknown
[345]   SHIF_STG.U1021.A1                                         Unknown
[346]   SHIF_STG.U1021.A2                                         Unknown
[347]   SHIF_STG.U1021.B1                                         Unknown
[348]   SHIF_STG.U1021.Y                                          Unknown
[349]   SHIF_STG.U1032.A1                                         Unknown
[350]   SHIF_STG.U1032.A2                                         Unknown
[351]   SHIF_STG.U1032.B1                                         Unknown
[352]   SHIF_STG.U1032.Y                                          Unknown
[353]   SHIF_STG.U1040.A1                                         Unknown
[354]   SHIF_STG.U1040.A2                                         Unknown
[355]   SHIF_STG.U1040.B1                                         Unknown
