Version("1.1")
Date("11/07/25 12:27:12")
User("g.vilarde")
Tool("ZOIX")
Info("  Type:    Fault Coverage Report")
Info("  Version: W-2024.09-SP1 (64-bit, Nov 24 2024)")
Info("  Models:  All")
Info("  Classes: All")

FunctionalBlocks{
     1 design {
           1  DSP {F:48176}
    }
}
StrobeData{
    StrobeList{"strobe1"
        Pins{
            1 "DSP.dsp_except_data[31:0]";
            2 "DSP.dsp_we_word[1:0]";
            3 "DSP.dsp_sc_read_addr[27:0]";
            4 "DSP.dsp_to_sc[7:0]";
            5 "DSP.dsp_sc_data_write_wire[63:0]";
            6 "DSP.dsp_sc_write_addr[13:0]";
            7 "DSP.dsp_sci_we[3:0]";
            8 "DSP.dsp_sci_req[3:0]";
            9 "DSP.state_DSP[1:0]";
        }
    }
}

FaultList{

Total              ND              DD             NC              NO Scope
----- --------------- --------------- -------------- --------------- -----
82242 17337  (21.08%) 36758  (44.69%) 8767  (10.66%) 19380  (23.56%) DSP
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_4_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_5_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -MVSIZE_READ_MASK_reg_6_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -shift_en_reg_0_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -accum_en_reg_0_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -FUNCT_SELECT_MASK_reg_10_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -FUNCT_SELECT_MASK_reg_0_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -MPSCLFAC_DSP_reg_2_
    8     8 (100.00%)     0   (0.00%)    0   (0.00%)     0   (0.00%) -MPSCLFAC_DSP_reg_0_
   10     7  (70.00%)     0   (0.00%)    3  (30.00%)     0   (0.00%) -U5169
   10     7  (70.00%)     0   (0.00%)    2  (20.00%)     1  (10.00%) -U5903
   10     7  (70.00%)     0   (0.00%)    2  (20.00%)     1  (10.00%) -U5285
    8     7  (87.50%)     0   (0.00%)    1  (12.50%)     0   (0.00%) -U5898
    8     7  (87.50%)     0   (0.00%)    1  (12.50%)     0   (0.00%) -U5170
    8     7  (87.50%)     0   (0.00%)    1  (12.50%)     0   (0.00%) -U4770
   10     7  (70.00%)     0   (0.00%)    0   (0.00%)     3  (30.00%) -U5830
    8     7  (87.50%)     0   (0.00%)    0   (0.00%)     1  (12.50%) -U6064
   10     6  (60.00%)     4  (40.00%)    0   (0.00%)     0   (0.00%) -U5690
    8     6  (75.00%)     2  (25.00%)    0   (0.00%)     0   (0.00%) -U6471
    8     6  (75.00%)     2  (25.00%)    0   (0.00%)     0   (0.00%) -RS1_Data_IE_lat_reg_11_
    8     6  (75.00%)     2  (25.00%)    0   (0.00%)     0   (0.00%) -dsp_rs2_to_sc_reg_0_
    8     6  (75.00%)     2  (25.00%)    0   (0.00%)     0   (0.00%) -RD_Data_IE_lat_reg_6_
   10     6  (60.00%)     1  (10.00%)    0   (0.00%)     3  (30.00%) -U4266
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U5551
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U5538
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4902
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4900
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4869
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4867
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4860
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4858
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4849
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4847
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4776
   10     6  (60.00%)     0   (0.00%)    3  (30.00%)     1  (10.00%) -U4774
   10     6  (60.00%)     0   (0.00%)    2  (20.00%)     2  (20.00%) -U5557
   10     6  (60.00%)     0   (0.00%)    2  (20.00%)     2  (20.00%) -U5310
    8     6  (75.00%)     0   (0.00%)    2  (25.00%)     0   (0.00%) -U5980
    8     6  (75.00%)     0   (0.00%)    1  (12.50%)     1  (12.50%) -U7044
