=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     MULTIPLIER   Jul 29 06:40:57 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]---------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                            | Latches | Gates         | Nets  | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     224 (224) (0 property flop bits)   0 (0)     26024 (26024)   42654   11      7574        4386            0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[276]   U1045.i_0                                 Dangerous
[277]   U1045.i_1                                 Dangerous
[278]   U1045.i_2                                 Dangerous
[279]   U1046.I                                   Dangerous
[280]   U1046.ZN                                  Dangerous
[281]   U1047.A1                                  Dangerous
[282]   U1047.A2                                  Dangerous
[283]   U1047.B1                                  Dangerous
[284]   U1047.B2                                  Dangerous
[285]   U1047.ZN                                  Dangerous
[286]   U1047.i_0                                 Dangerous
[287]   U1047.i_1                                 Dangerous
[288]   U1047.i_2                                 Dangerous
[289]   U1048.I                                   Dangerous
[290]   U1048.ZN                                  Dangerous
[291]   U1049.A1                                  Dangerous
[292]   U1049.A2                                  Dangerous
[293]   U1049.B1                                  Dangerous
[294]   U1049.B2                                  Dangerous
[295]   U1049.ZN                                  Dangerous
[296]   U1049.i_0                                 Dangerous
[297]   U1049.i_1                                 Dangerous
[298]   U1049.i_2                                 Dangerous
[299]   U1050.I                                   Dangerous
[300]   U1050.ZN                                  Dangerous
[301]   U1051.A1                                  Dangerous
[302]   U1051.A2                                  Dangerous
[303]   U1051.B1                                  Dangerous
[304]   U1051.B2                                  Dangerous
[305]   U1051.ZN                                  Dangerous
[306]   U1051.i_0                                 Dangerous
[307]   U1051.i_1                                 Dangerous
[308]   U1051.i_2                                 Dangerous
[309]   U1052.I                                   Dangerous
[310]   U1052.ZN                                  Dangerous
[311]   U1053.A1                                  Dangerous
[312]   U1053.A2                                  Dangerous
[313]   U1053.B1                                  Dangerous
[314]   U1053.B2                                  Dangerous
[315]   U1053.ZN                                  Dangerous
[316]   U1053.i_0                                 Dangerous
[317]   U1053.i_1                                 Dangerous
[318]   U1053.i_2                                 Dangerous
[319]   U1054.I                                   Dangerous
[320]   U1054.ZN                                  Dangerous
[321]   U1055.A1                                  Dangerous
[322]   U1055.A2                                  Dangerous
[323]   U1055.B1                                  Dangerous
[324]   U1055.B2                                  Dangerous
[325]   U1055.ZN                                  Dangerous
[326]   U1055.i_0                                 Dangerous
[327]   U1055.i_1                                 Dangerous
[328]   U1055.i_2                                 Dangerous
[329]   U1056.I                                   Dangerous
[330]   U1056.ZN                                  Dangerous
[331]   U1057.A1                                  Dangerous
[332]   U1057.A2                                  Dangerous
[333]   U1057.B1                                  Dangerous
[334]   U1057.B2                                  Dangerous
[335]   U1057.ZN                                  Dangerous
[336]   U1057.i_0                                 Dangerous
[337]   U1057.i_1                                 Dangerous
[338]   U1057.i_2                                 Dangerous
[339]   U1058.I                                   Dangerous
[340]   U1058.ZN                                  Dangerous
[341]   U1059.A1                                  Dangerous
[342]   U1059.A2                                  Dangerous
[343]   U1059.B1                                  Dangerous
[344]   U1059.B2                                  Dangerous
[345]   U1059.ZN                                  Dangerous
[346]   U1059.i_0                                 Dangerous
[347]   U1059.i_1                                 Dangerous
[348]   U1059.i_2                                 Dangerous
[349]   U1060.I                                   Dangerous
[350]   U1060.ZN                                  Dangerous
[351]   U1061.A1                                  Dangerous
[352]   U1061.A2                                  Dangerous
[353]   U1061.B1                                  Dangerous
[354]   U1061.B2                                  Dangerous
[355]   U1061.ZN                                  Dangerous
[356]   U1061.i_0                                 Dangerous
[357]   U1061.i_1                                 Dangerous
[358]   U1061.i_2                                 Dangerous
[359]   U1062.I                                   Dangerous
[360]   U1062.ZN                                  Dangerous
[361]   U1063.A1                                  Dangerous
