=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]---------------------------------------
------------------------------------------------------------------
 Num  | module     | created date             | filter            
------------------------------------------------------------------
[1]     COMPARATOR   Jul 29 09:29:47 EDT 2025   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]----------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                          | Latches | Gates       | Nets | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     78 (78) (0 property flop bits)   0 (0)     1041 (1041)   2255   11      592         312             0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[352]   U325.A2                                   Dangerous
[353]   U325.B1                                   Dangerous
[354]   U325.B2                                   Dangerous
[355]   U325.ZN                                   Dangerous
[356]   U325.i_0                                  Dangerous
[357]   U325.i_1                                  Dangerous
[358]   U325.i_2                                  Dangerous
[359]   U326.I                                    Dangerous
[360]   U326.ZN                                   Dangerous
[361]   U327.A1                                   Dangerous
[362]   U327.A2                                   Dangerous
[363]   U327.ZN                                   Dangerous
[364]   U327.i_24                                 Dangerous
[365]   U328.A1                                   Dangerous
[366]   U328.A2                                   Dangerous
[367]   U328.B1                                   Dangerous
[368]   U328.B2                                   Dangerous
[369]   U328.ZN                                   Dangerous
[370]   U328.i_0                                  Dangerous
[371]   U328.i_1                                  Dangerous
[372]   U328.i_2                                  Dangerous
[373]   U329.A1                                   Dangerous
[374]   U329.A2                                   Dangerous
[375]   U329.B1                                   Dangerous
[376]   U329.B2                                   Dangerous
[377]   U329.ZN                                   Dangerous
[378]   U329.i_0                                  Dangerous
[379]   U329.i_1                                  Dangerous
[380]   U329.i_2                                  Dangerous
[381]   U330.I                                    Dangerous
[382]   U330.ZN                                   Dangerous
[383]   U331.A1                                   Dangerous
[384]   U331.A2                                   Dangerous
[385]   U331.B1                                   Dangerous
[386]   U331.B2                                   Dangerous
[387]   U331.ZN                                   Dangerous
[388]   U331.i_0                                  Dangerous
[389]   U331.i_1                                  Dangerous
[390]   U331.i_2                                  Dangerous
[391]   U332.I                                    Dangerous
[392]   U332.ZN                                   Dangerous
[393]   U333.A1                                   Dangerous
[394]   U333.A2                                   Dangerous
[395]   U333.B1                                   Dangerous
[396]   U333.B2                                   Dangerous
[397]   U333.ZN                                   Dangerous
[398]   U333.i_0                                  Dangerous
[399]   U333.i_1                                  Dangerous
[400]   U333.i_2                                  Dangerous
[401]   U334.I                                    Dangerous
[402]   U334.ZN                                   Dangerous
[403]   U335.A1                                   Dangerous
[404]   U335.A2                                   Dangerous
[405]   U335.B1                                   Dangerous
[406]   U335.B2                                   Dangerous
[407]   U335.ZN                                   Dangerous
[408]   U335.i_0                                  Dangerous
[409]   U335.i_1                                  Dangerous
[410]   U335.i_2                                  Dangerous
[411]   U336.I                                    Dangerous
[412]   U336.ZN                                   Dangerous
[413]   U337.A1                                   Dangerous
[414]   U337.A2                                   Dangerous
[415]   U337.B1                                   Dangerous
[416]   U337.B2                                   Dangerous
[417]   U337.ZN                                   Dangerous
[418]   U337.i_0                                  Dangerous
[419]   U337.i_1                                  Dangerous
[420]   U337.i_2                                  Dangerous
[421]   U338.I                                    Dangerous
[422]   U338.ZN                                   Dangerous
[423]   U339.A1                                   Dangerous
[424]   U339.A2                                   Dangerous
[425]   U339.B1                                   Dangerous
[426]   U339.B2                                   Dangerous
[427]   U339.ZN                                   Dangerous
[428]   U339.i_0                                  Dangerous
[429]   U339.i_1                                  Dangerous
[430]   U339.i_2                                  Dangerous
[431]   U340.I                                    Dangerous
[432]   U340.ZN                                   Dangerous
[433]   U341.A1                                   Dangerous
[434]   U341.A2                                   Dangerous
[435]   U341.B1                                   Dangerous
[436]   U341.B2                                   Dangerous
[437]   U341.ZN                                   Dangerous
[438]   U341.i_0                                  Dangerous
[439]   U341.i_1                                  Dangerous
[440]   U341.i_2                                  Dangerous
[441]   U342.I                                    Dangerous
[442]   U342.ZN                                   Dangerous
[443]   U343.A1                                   Dangerous
[444]   U343.A2                                   Dangerous
[445]   U343.B1                                   Dangerous
[446]   U343.B2                                   Dangerous
[447]   U343.ZN                                   Dangerous
[448]   U343.i_0                                  Dangerous
[449]   U343.i_1                                  Dangerous
[450]   U343.i_2                                  Dangerous
[451]   U344.I                                    Dangerous
[452]   U344.ZN                                   Dangerous
[453]   U345.A1                                   Dangerous
[454]   U345.A2                                   Dangerous
[455]   U345.B                                    Dangerous
[456]   U345.ZN                                   Dangerous
[457]   U345.i_0                                  Dangerous
[458]   U345.i_1                                  Dangerous
[459]   U346.A1                                   Dangerous
[460]   U346.A2                                   Dangerous
[461]   U346.B1                                   Dangerous
[462]   U346.B2                                   Dangerous
[463]   U346.ZN                                   Dangerous
[464]   U346.i_0                                  Dangerous
[465]   U346.i_1                                  Dangerous
[466]   U346.i_2                                  Dangerous
[467]   U347.I                                    Dangerous
[468]   U347.ZN                                   Dangerous
[469]   U348.A1                                   Dangerous
[470]   U348.A2                                   Dangerous
[471]   U348.B1                                   Dangerous
[472]   U348.B2                                   Dangerous
[473]   U348.ZN                                   Dangerous
[474]   U348.i_0                                  Dangerous
[475]   U348.i_1                                  Dangerous
[476]   U348.i_2                                  Dangerous
[477]   U349.I                                    Dangerous
[478]   U349.ZN                                   Dangerous
[479]   U350.A1                                   Dangerous
[480]   U350.A2                                   Dangerous
[481]   U350.B1                                   Dangerous
[482]   U350.B2                                   Dangerous
[483]   U350.ZN                                   Dangerous
[484]   U350.i_0                                  Dangerous
[485]   U350.i_1                                  Dangerous
[486]   U350.i_2                                  Dangerous
[487]   U351.I                                    Dangerous
[488]   U351.ZN                                   Dangerous
[489]   U352.A1                                   Dangerous
[490]   U352.A2                                   Dangerous
[491]   U352.B1                                   Dangerous
[492]   U352.B2                                   Dangerous
[493]   U352.ZN                                   Dangerous
[494]   U352.i_0                                  Dangerous
[495]   U352.i_1                                  Dangerous
[496]   U352.i_2                                  Dangerous
[497]   U353.I                                    Dangerous
[498]   U353.ZN                                   Dangerous
[499]   U354.A1                                   Dangerous
[500]   U354.A2                                   Dangerous
[501]   U354.B1                                   Dangerous
[502]   U354.B2                                   Dangerous
[503]   U354.ZN                                   Dangerous
[504]   U354.i_0                                  Dangerous
[505]   U354.i_1                                  Dangerous
[506]   U354.i_2                                  Dangerous
[507]   U355.I                                    Dangerous
[508]   U355.ZN                                   Dangerous
[509]   U356.A1                                   Dangerous
[510]   U356.A2                                   Dangerous
[511]   U356.B1                                   Dangerous
[512]   U356.B2                                   Dangerous
[513]   U356.ZN                                   Dangerous
[514]   U356.i_0                                  Dangerous
[515]   U356.i_1                                  Dangerous
[516]   U356.i_2                                  Dangerous
[517]   U357.I                                    Dangerous
[518]   U357.ZN                                   Dangerous
[519]   U358.A1                                   Dangerous
[520]   U358.A2                                   Dangerous
[521]   U358.B1                                   Dangerous
[522]   U358.B2                                   Dangerous
[523]   U358.ZN                                   Dangerous
[524]   U358.i_0                                  Dangerous
[525]   U358.i_1                                  Dangerous
[526]   U358.i_2                                  Dangerous
[527]   U359.I                                    Dangerous
[528]   U359.ZN                                   Dangerous
[529]   U360.A1                                   Dangerous
[530]   U360.A2                                   Dangerous
[531]   U360.B1                                   Dangerous
[532]   U360.B2                                   Dangerous
[533]   U360.ZN                                   Dangerous
[534]   U360.i_0                                  Dangerous
[535]   U360.i_1                                  Dangerous
[536]   U360.i_2                                  Dangerous
[537]   U361.I                                    Dangerous
[538]   U361.ZN                                   Dangerous
[539]   U362.A1                                   Dangerous
[540]   U362.A2                                   Dangerous
[541]   U362.B1                                   Dangerous
[542]   U362.B2                                   Dangerous
[543]   U362.ZN                                   Dangerous
[544]   U362.i_0                                  Dangerous
[545]   U362.i_1                                  Dangerous
[546]   U362.i_2                                  Dangerous
[547]   U363.I                                    Dangerous
[548]   U363.ZN                                   Dangerous
[549]   U364.A1                                   Dangerous
[550]   U364.A2                                   Dangerous
[551]   U364.B1                                   Dangerous
[552]   U364.B2                                   Dangerous
[553]   U364.ZN                                   Dangerous
[554]   U364.i_0                                  Dangerous
[555]   U364.i_1                                  Dangerous
[556]   U364.i_2                                  Dangerous
[557]   U365.I                                    Dangerous
[558]   U365.ZN                                   Dangerous
[559]   U366.A1                                   Dangerous
[560]   U366.A2                                   Dangerous
[561]   U366.B1                                   Dangerous
[562]   U366.B2                                   Dangerous
[563]   U366.ZN                                   Dangerous
[564]   U366.i_0                                  Dangerous
[565]   U366.i_1                                  Dangerous
[566]   U366.i_2                                  Dangerous
[567]   U367.I                                    Dangerous
[568]   U367.ZN                                   Dangerous
[569]   U368.A1                                   Dangerous
[570]   U368.A2                                   Dangerous
[571]   U368.B1                                   Dangerous
[572]   U368.B2                                   Dangerous
[573]   U368.ZN                                   Dangerous
[574]   U368.i_0                                  Dangerous
