=====================================================
  JasperGold FSV App - Faults Classification Report  
=====================================================

---[ <Report Information> ]-----------------------------------
--------------------------------------------------------------
 Num  | module | created date             | filter            
--------------------------------------------------------------
[1]     DSP      Jun 05 05:29:06 EDT 2026   Types: (SA0, SA1)


********************************************************************************************

---[ <DESIGN INFORMATION> ]------------------------------------------------------------------------------------------------------------------------------------------------------
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Num  | Flops                              | Latches | Gates         | Nets   | Ports | RTL Lines | RTL Instances | Embedded Assumptions | Embedded Assertions | Embedded Covers 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
[1]     1854 (1854) (0 property flop bits)   0 (0)     78854 (80805)   182896   35      44206       28722           0                      0                     0


********************************************************************************************

---[ <FAULTS CLASSIFICATION SUMMARY> ]------------------------
--------------------------------------------------------------
 Num  | Fault Type | Unprocessed | Safe | Dangerous | Unknown 
--------------------------------------------------------------
[1]     SA0          0             2048   0           96452
[2]     SA1          0             3978   0           94522
[3]     Total        0             6026   0           190974


********************************************************************************************

---[ <SA0> ]----------------------------------------------------------------------
[361]   U11152.A1                                                  Unknown
[362]   U11152.A2                                                  Unknown
[363]   U11152.B1                                                  Unknown
[364]   U11152.X                                                   Unknown
[365]   U11153.A1                                                  Unknown
[366]   U11153.A2                                                  Unknown
[367]   U11153.B1                                                  Unknown
[368]   U11153.X                                                   Unknown
[369]   U11154.A1                                                  Unknown
[370]   U11154.A2                                                  Unknown
[371]   U11154.B1                                                  Unknown
[372]   U11154.X                                                   Unknown
[373]   U11155.A1                                                  Unknown
[374]   U11155.A2                                                  Unknown
[375]   U11155.B1                                                  Unknown
[376]   U11155.X                                                   Unknown
[377]   U11166.A1                                                  Unknown
[378]   U11166.A2                                                  Unknown
[379]   U11166.B1                                                  Unknown
[380]   U11166.X                                                   Unknown
[381]   U11167.A1                                                  Unknown
[382]   U11167.A2                                                  Unknown
[383]   U11167.B1                                                  Unknown
[384]   U11167.X                                                   Unknown
[385]   U11168.A1                                                  Unknown
[386]   U11168.A2                                                  Unknown
[387]   U11168.B1                                                  Unknown
[388]   U11168.X                                                   Unknown
[389]   U11169.A1                                                  Unknown
[390]   U11169.A2                                                  Unknown
[391]   U11169.B1                                                  Unknown
[392]   U11169.X                                                   Unknown
[393]   U11170.A1                                                  Unknown
[394]   U11170.A2                                                  Unknown
[395]   U11170.B1                                                  Unknown
[396]   U11170.X                                                   Unknown
[397]   U11171.A1                                                  Unknown
[398]   U11171.A2                                                  Unknown
[399]   U11171.B1                                                  Unknown
[400]   U11171.X                                                   Unknown
[401]   U11172.A1                                                  Unknown
[402]   U11172.A2                                                  Unknown
[403]   U11172.B1                                                  Unknown
[404]   U11172.X                                                   Unknown
[405]   U11173.A1                                                  Unknown
[406]   U11173.A2                                                  Unknown
[407]   U11173.B1                                                  Unknown
[408]   U11173.X                                                   Unknown
[409]   SHIF_STG.U1484.A1                                          Unknown
[410]   SHIF_STG.U1484.A2                                          Unknown
[411]   SHIF_STG.U1484.B1                                          Unknown
